,word,tf,abstract,url,date
741,power,1.0,Disposable-diaper banks in Chicago are hard-pressed to keep up with the demand from low-income mothers.,https://www.nytimes.com/2010/12/12/us/12cncdiaper.html,2010-12-12
774,positive_emotion,1.0,Disposable-diaper banks in Chicago are hard-pressed to keep up with the demand from low-income mothers.,https://www.nytimes.com/2010/12/12/us/12cncdiaper.html,2010-12-12
779,money,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
791,family,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
829,real_estate,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
878,hygiene,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
891,toy,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
898,shopping,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
913,youth,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
950,cleaning,1.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
961,children,2.0,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10
973,money,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1006,magic,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1030,business,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1037,hipster,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1055,legend,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1078,fabric,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1097,gain,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1105,valuable,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1114,fashion,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1119,economics,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1123,clothing,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1128,shape_and_size,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1142,negotiate,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1143,negative_emotion,1.0,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08
1272,fabric,1.0,A new Huggies ad for diapers in a blue jeans pattern does not shy away from the “P” words.,https://www.nytimes.com/2010/05/25/business/media/25adco.html,2010-05-24
1317,clothing,1.0,A new Huggies ad for diapers in a blue jeans pattern does not shy away from the “P” words.,https://www.nytimes.com/2010/05/25/business/media/25adco.html,2010-05-24
1334,timidity,1.0,A new Huggies ad for diapers in a blue jeans pattern does not shy away from the “P” words.,https://www.nytimes.com/2010/05/25/business/media/25adco.html,2010-05-24
1351,ocean,1.0,A new Huggies ad for diapers in a blue jeans pattern does not shy away from the “P” words.,https://www.nytimes.com/2010/05/25/business/media/25adco.html,2010-05-24
1406,play,1.0,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07
1440,sports,1.0,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07
1473,toy,1.0,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07
1478,listen,1.0,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07
1543,children,1.0,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07
1551,musical,1.0,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07
1583,royalty,1.0,"The new Mazda 5 is distinguished from other minivans by its small size, a design that is more common in Europe and Japan, where such minivans are called “multipurpose vehicles.”",https://www.nytimes.com/2011/02/13/automobiles/autoreviews/mazda-5-review.html,2011-02-11
1598,art,1.0,"The new Mazda 5 is distinguished from other minivans by its small size, a design that is more common in Europe and Japan, where such minivans are called “multipurpose vehicles.”",https://www.nytimes.com/2011/02/13/automobiles/autoreviews/mazda-5-review.html,2011-02-11
1619,hipster,1.0,"The new Mazda 5 is distinguished from other minivans by its small size, a design that is more common in Europe and Japan, where such minivans are called “multipurpose vehicles.”",https://www.nytimes.com/2011/02/13/automobiles/autoreviews/mazda-5-review.html,2011-02-11
1710,shape_and_size,1.0,"The new Mazda 5 is distinguished from other minivans by its small size, a design that is more common in Europe and Japan, where such minivans are called “multipurpose vehicles.”",https://www.nytimes.com/2011/02/13/automobiles/autoreviews/mazda-5-review.html,2011-02-11
1747,office,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1784,journalism,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1806,business,2.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1835,violence,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1863,meeting,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1865,speaking,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1879,work,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1906,white_collar_job,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1923,law,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1934,giving,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1936,writing,1.0,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11
1941,office,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
1957,crime,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
1959,masculine,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
1963,dispute,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
1978,journalism,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
1992,stealing,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2008,internet,2.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2030,programming,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2038,communication,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2042,hygiene,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2057,meeting,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2104,smell,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2114,cleaning,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2130,writing,1.0,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03
2169,school,1.0,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20
2184,college,1.0,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20
2204,reading,1.0,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20
2251,meeting,1.0,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20
2253,speaking,1.0,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20
2266,science,1.0,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20
2337,hate,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2341,envy,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2379,optimism,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2424,love,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2470,affection,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2501,negative_emotion,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2506,friends,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2520,positive_emotion,1.0,Do you love or hate child-care tasks? See how you compare to others.,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22
2529,medical_emergency,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2530,cold,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2538,vacation,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2546,nervousness,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2565,night,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2597,body,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2609,celebration,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2611,violence,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2618,love,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2659,youth,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2669,shame,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2684,party,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2690,pain,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2707,children,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2711,contentment,1.0,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12
2850,appearance,1.0,"Those washable diapers were part and parcel of the vision I had of myself as a woman and a mother. And when I gave them up, I didn’t know who I was any more.",https://parenting.blogs.nytimes.com/2014/07/17/goodbye-to-cloth-diapers-and-ideal-motherhood/,2014-07-17
2899,feminine,1.0,"Those washable diapers were part and parcel of the vision I had of myself as a woman and a mother. And when I gave them up, I didn’t know who I was any more.",https://parenting.blogs.nytimes.com/2014/07/17/goodbye-to-cloth-diapers-and-ideal-motherhood/,2014-07-17
2901,children,1.0,"Those washable diapers were part and parcel of the vision I had of myself as a woman and a mother. And when I gave them up, I didn’t know who I was any more.",https://parenting.blogs.nytimes.com/2014/07/17/goodbye-to-cloth-diapers-and-ideal-motherhood/,2014-07-17
2914,wedding,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
2915,domestic_work,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
2925,family,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
2939,leisure,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
2964,home,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
2997,celebration,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
3072,party,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
3095,children,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
3102,positive_emotion,1.0,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17
3108,wedding,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3109,domestic_work,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3119,family,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3127,dispute,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3133,leisure,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3158,home,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3191,celebration,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3214,fight,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3266,party,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3289,children,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3296,positive_emotion,1.0,"Is a family really arguing about diapers, or something else entirely?",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05
3303,domestic_work,1.0,"By acquiring Quidsi, the parent company of Diapers.com, Amazon.com should be able compete in the baby-products sector in the way that its deal for Zappos.com made it the leader in the online shoe business.",https://dealbook.nytimes.com/2010/11/08/deal-solves-amazons-diaper-dilemma/,2010-11-08
3313,family,1.0,"By acquiring Quidsi, the parent company of Diapers.com, Amazon.com should be able compete in the baby-products sector in the way that its deal for Zappos.com made it the leader in the online shoe business.",https://dealbook.nytimes.com/2010/11/08/deal-solves-amazons-diaper-dilemma/,2010-11-08
3323,government,1.0,"By acquiring Quidsi, the parent company of Diapers.com, Amazon.com should be able compete in the baby-products sector in the way that its deal for Zappos.com made it the leader in the online shoe business.",https://dealbook.nytimes.com/2010/11/08/deal-solves-amazons-diaper-dilemma/,2010-11-08
3339,social_media,1.0,"By acquiring Quidsi, the parent company of Diapers.com, Amazon.com should be able compete in the baby-products sector in the way that its deal for Zappos.com made it the leader in the online shoe business.",https://dealbook.nytimes.com/2010/11/08/deal-solves-amazons-diaper-dilemma/,2010-11-08
3347,computer,1.0,"By acquiring Quidsi, the parent company of Diapers.com, Amazon.com should be able compete in the baby-products sector in the way that its deal for Zappos.com made it the leader in the online shoe business.",https://dealbook.nytimes.com/2010/11/08/deal-solves-amazons-diaper-dilemma/,2010-11-08
