,abstracts,lead_paragraph,url,date,document_type,news_desk
10,A new Huggies ad for diapers in a blue jeans pattern does not shy away from the “P” words.,"IN a new television commercial for Huggies, the Kimberly-Clark diaper brand, two women are eating lunch at an outdoor cafe when something suddenly catches their attention, and they lower oversize sunglasses for a better look. ",https://www.nytimes.com/2010/05/25/business/media/25adco.html,2010-05-24,article,Business
11,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.","AUGUSTA, Ga. — This is Bubba Watson’s fourth Masters, so his routine is well established. Every year he likes to arrive here on Saturday so he can play one practice round Sunday, without any fans (or many of the other players) around to bother him. Then he falls into the usual Monday-Tuesday-Wednesday preparation sequence before the tournament begins Thursday.",https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,2012-04-07,article,Sports
12,"The new Mazda 5 is distinguished from other minivans by its small size, a design that is more common in Europe and Japan, where such minivans are called “multipurpose vehicles.”","I USED to make minivan jokes. They were harmless jabs — reflexive, and let’s face it, clichéd — at friends about their pending parenthood.",https://www.nytimes.com/2011/02/13/automobiles/autoreviews/mazda-5-review.html,2011-02-11,article,Automobiles
13,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.","THE recent return to the United States of a 9-year-old boy who was at the center of an international abduction and custody dispute once again called attention to the issues that can complicate international travel with children, especially when one parent is staying behind.",https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,2010-01-11,article,Travel
14,"A police bulletin seeking information on a man recorded shoplifting packages of diapers drew fresh attention to a continuing crisis of access to the product, according to the National Diaper Bank Network.","“Anyone recognize him?” the police in Winter Haven, Fla., asked on Facebook last month.",https://www.nytimes.com/2021/10/03/us/diaper-need-walmart-shoplifting.html,2021-10-03,article,Express
15,"Two new comedy shows, “Raising Hope” and “Running Wilde,” have something to say about class in America.","Martha Plimpton isn’t the only reason “Raising Hope”could be the best new sitcom of the season, but she is the main reason. Because it isn’t until the actress trudges into view as Virginia Chance, a cleaning woman in a sherbet-pink uniform, a cigarette dangling from her lip and a hostile glint in her eyes, that the premiere on Tuesday on Fox hits full comic stride.",https://www.nytimes.com/2010/09/21/arts/television/21hope.html,2010-09-20,article,Culture
16,"You don’t absolutely need a designated diaper bag to leave the house with a young child. But when you have a fully stocked bag at the ready, it’s much easier to get out the door and change your kid on the go. We’ve tested 50 diaper bags since 2017, filling them with diapers, bottles, and...","You don’t absolutely need a designated diaper bag to leave the house with a young child. But when you have a fully stocked bag at the ready, it’s much easier to get out the door and change your kid on the go. We’ve tested 50 diaper bags since 2017, filling them with diapers, bottles, and...",https://www.nytimes.com/wirecutter/reviews/best-diaper-bag/,2017-08-01,wirecutterarticle,
17,Do you love or hate child-care tasks? See how you compare to others.,Do you like waking up at night to care for a crying baby? How about changing diapers? Did you complain last time you had to cancel plans because you had a sick child?,https://well.blogs.nytimes.com/2012/03/22/quiz-the-diaper-changing-index/,2012-03-22,article,
18,"For teenagers who are pregnant or already mothers, the fairy-tale aspect of prom night is especially potent: They can transform themselves for a few hours and feel free. ",High school proms always have something of a Cinderella quality: Kids who usually slouch around in T-shirts and sneakers are transformed by formal wear into glamorous princes and princesses for the night.,https://www.nytimes.com/2018/06/12/well/family/teenage-pregnancy-prom.html,2018-06-12,article,Well
19,"Those washable diapers were part and parcel of the vision I had of myself as a woman and a mother. And when I gave them up, I didn’t know who I was any more.","I cloth diapered my daughter until she was 2, and she began using the toilet. And when I had my son, I was determined to continue. After all, I loved cloth diapering. I loved talking diapers with moms at the park and in forums online. I learned about washing strategies and making my own detergent and became fluent in diaper speak: soaker pads, Kushies, liners, Flips. And do you like AIOs or prefolds? ",https://parenting.blogs.nytimes.com/2014/07/17/goodbye-to-cloth-diapers-and-ideal-motherhood/,2014-07-17,article,Styles
20,"Greg Garcia’s new Fox sitcom, “Raising Hope,” may be about a working-class clan, but Mr. Garcia says it’s more about family than class.","THERE’S a throwaway joke in the pilot episode of Greg Garcia’s new Fox comedy, “Raising Hope,” in which a news anchor on a television screen promises the conclusion to a story about “a small-time crook with a long list of wrongs he was making amends for.” But before that tale can be told, the television conks out  or, more precisely, is conked over someone’s head  and its ending is never revealed. ",https://www.nytimes.com/2010/09/19/arts/television/19hope.html,2010-09-17,article,0
21,"Is a family really arguing about diapers, or something else entirely?","A reader, who we will call Daughter-in-Law, has a problem. She and her husband work full time, and their 3.5-year-old son is cared for by his grandmothers. DIL’s mother cares for the boy three to four days a week, and her mother-in-law cares for him the other day or two. Her mother-in-law is highly educated but she speaks very little English, and her son serves as translator between DIL and his mother.",https://parenting.blogs.nytimes.com/2010/10/05/putting-diapers-on-a-toilet-trained-child/,2010-10-05,article,
22,"By acquiring Quidsi, the parent company of Diapers.com, Amazon.com should be able compete in the baby-products sector in the way that its deal for Zappos.com made it the leader in the online shoe business.",8:15 p.m. | Updated  Amazon.com is changing its diaper strategy.,https://dealbook.nytimes.com/2010/11/08/deal-solves-amazons-diaper-dilemma/,2010-11-08,article,
23,"“Porfirio,” a sort of documentary-fiction hybrid by Alejandor Landes, has a script, but the story is that of its subject-actor, a paraplegic in Colombia with a startling past.","Vividly depicting the indignities of the flesh, “Porfirio” offers a harshly sensual portrait of a man imprisoned by paralysis and the callousness of the state.",https://www.nytimes.com/2013/02/08/movies/porfirio-a-documentary-fiction-hybrid-by-alejandro-landes.html,2013-02-08,article,Weekend
24,"Diapers have traditionally had one primary sensor — the baby inside them, who cries when wet — but a company hopes to have its product collect data for a doctor.",Talk about changing with the times.,https://bits.blogs.nytimes.com/2013/07/09/a-digital-diaper-for-tracking-health/,2013-07-09,article,
25,Marketing for Huggies Little Movers Slip-On Diapers is focusing on mothers of babies who have a tendency to squirm during a diaper change.,"IN a new commercial for Huggies Little Movers Slip-On Diapers, which have leg holes and slide on like underwear, a baby rolls over twice in the same direction as a voiceover begins, “Huggies presents a whole new way to change a rolling pin.” ",https://www.nytimes.com/2011/07/29/business/media/making-the-diaper-change-easier.html,2011-07-29,article,Business
26,"The BBC documentary “Born to Royalty” uses archival images of the royal family, going back to Queen Victoria, ostensibly to tell a story about changing royal parental styles.","Is there such a thing as a birth vulture? If there is, then that is both the subject and the format of the BBC documentary “Born to Royalty.” The film’s release this week was timed to coincide with Kate Middleton’s due date for the latest heir to the British throne.",https://www.nytimes.com/2013/07/19/movies/born-to-royalty-looks-at-the-rearing-of-britains-rulers.html,2013-07-18,article,Weekend
27,"In an effort to save millions of dollars a year, the comptroller’s office is planning to pare the list of vendors who sell incontinence products to the state’s Medicaid patients. The vendors are not happy.","Call it a bad case of adult diaper drama: Vendors of incontinence products are facing off against the state comptroller’s office over plans to competitively bid underpads, catheters and other supplies for Medicaid patients. ",https://www.nytimes.com/2010/11/19/us/19ttdiapers.html,2010-11-19,article,National
28,"Workers at a California restaurant said inadequate safety measures, including unsuitable face coverings, were to blame for a Covid-19 outbreak.",There have been many confrontations over workplace safety since the pandemic began. One of the strangest has just been resolved: the case of the dog diapers.,https://www.nytimes.com/2021/08/12/business/mcdonalds-dog-diapers.html,2021-08-12,article,Business
29,"Pampers, the Procter & Gamble brand, said it recognized the expanding role of fathers in parenting.","FATHERS are changing more diapers than ever, but you would never guess that while walking down the diaper aisle, where packages feature mothers but never fathers.",https://www.nytimes.com/2010/06/23/business/media/23adco.html,2010-06-23,article,Business
30,"In an effort to save millions of dollars a year, the comptroller’s office is planning to pare the list of vendors who sell incontinence products to the state’s Medicaid patients. The vendors are not happy.","Call it a bad case of adult diaper drama: Vendors of incontinence products are facing off against the state comptroller’s office over plans to competitively bid underpads, catheters and other supplies for Medicaid patients. ",https://www.nytimes.com/2010/11/19/us/19ttdiapers.html,2010-11-19,article,National
31,"In Japan, adult diapers are now outselling baby diapers in some stores, signaling a big shift in population structure.","Tokyo is still mostly a bustling, crowded supercity. But the quiet and emptiness I saw with my son this fall in the greenway adjacent to the Imperial Palace grounds in Tokyo could be more commonplace later in this century given the aging of the Japanese population. Indeed, a recent government study, cited last year in the Wall Street Journal’s Japan blog, projected that the city population “will peak at 13.35 million in 2020 — then drop steadily to 7.13 million in the year 2100.”",https://dotearth.blogs.nytimes.com/2013/12/23/japans-diaper-shift-and-global-population-trends/,2013-12-23,article,
32,Would a signed agreement designating which parent is in charge of which homework help?,"If you could sit down with your new love interest, romantic partner or spouse, and create an operating manual for your relationship, what would the rules be? Would writing them down give them more gravitas than a conversation over a glass of wine? Would you consult a couples’ counselor? Even use lawyers?",https://parenting.blogs.nytimes.com/2012/05/25/diaper-duty-divided-and-decided-sign-here/,2012-05-25,article,
33,"Over 56 million families have lost income since March 13, and diaper banks are straining to fill the need.","A few months ago, Chelsea Murgatroyd turned to her local diaper bank for a supply of diapers and wipes. Murgatroyd, 29, who has a 4-year-old and 8-month-old in Austin, Texas, co-owned a carpet cleaning business with her husband that opened two years ago. They worked mostly with hotels, but as soon as the coronavirus shutdown happened in March, “all our work was gone,” she said, and ultimately they had to shutter the business. Their savings went quickly. Murgatroyd found the Austin Diaper Bank through a Google search. “We needed help,” she said. “I have never used a charity in my life. That was very different and humbling for me.”",https://www.nytimes.com/2020/07/29/parenting/diaper-banks-formula-wipes-coronavirus.html,2020-07-29,article,Parenting
34,"“Life as We Know It,” with Katherine Heigl and Josh Duhamel, never deviates from the romantic-comedy formula, but is well made for its corporate type.","It’s enough to say that the bland romantic comedy “Life as We Know It,” in which there is not a single deviation from formula, is well made for its corporate type. One sign that the movie, directed by Greg Berlanti from a screenplay by Ian Deitchman and Kristin Rusk Robinson, has its unimaginative head on straight is that its lead characters actually have jobs that the film explores in some depth.",https://www.nytimes.com/2010/10/08/movies/08life.html,2010-10-07,article,Weekend
35,Donte Palmer posted a photo online showing how he changes his son’s diaper in public restrooms without changing stations. Messages of support flooded in from fathers around the world.,"When it comes to changing diapers, Donte Palmer has his technique down.",https://www.nytimes.com/2018/10/05/us/father-changing-diaper-photo.html,2018-10-05,article,Express
36,"Quidsi, the Amazon-owned e-commerce company behind Diapers.com, introduced Wag.com to sell pet supplies.","Quidsi, the company that started Diapers.com, is doing all it can to make sure people can run their errands without getting off the couch. Next up: Wag.com, which sells pet supplies.",https://bits.blogs.nytimes.com/2011/07/06/would-you-like-some-dog-food-with-your-diapers/,2011-07-06,article,
37,"Cotton or cellulose fluff, cost savings or convenience, laundry or landfill: For some new parents, choosing between using cloth or disposable diapers can feel like a big decision. How do you know which kind of diaper will work best for your family? Advocates for both cloth and disposable diapers make strident and often conflicting claims...","Cotton or cellulose fluff, cost savings or convenience, laundry or landfill: For some new parents, choosing between using cloth or disposable diapers can feel like a big decision. How do you know which kind of diaper will work best for your family? Advocates for both cloth and disposable diapers make strident and often conflicting claims...",https://www.nytimes.com/wirecutter/blog/cloth-vs-disposable-diapers/,2018-05-15,wirecutterarticle,
38,The malfunctioning toilet was first detected in another SpaceX capsule last month.,"Last week, the SpaceX Crew-2 capsule was all clear to make its trek back home, but one thing stood in the way: its toilet. While the vehicle had been cleared to return to Earth, the toilet remained offline for the duration of the trip.",https://www.nytimes.com/2021/11/08/science/spacex-diapers-toilet.html,2021-11-09,article,Science
39,"Keeping a squirmy infant clean is a task worthy of Sisyphus—the minute you get them washed, brushed, and diapered, it’s time to start all over. But the right tools can make grooming your kid a little less of a battle. From the best diapering supplies and tiny scissors that keep sharp nails at bay to...","Keeping a squirmy infant clean is a task worthy of Sisyphus—the minute you get them washed, brushed, and diapered, it’s time to start all over. But the right tools can make grooming your kid a little less of a battle. From the best diapering supplies and tiny scissors that keep sharp nails at bay to...",https://www.nytimes.com/wirecutter/reviews/baby-care-essentials/,2020-06-08,wirecutterarticle,
40,"Vinit Bharara made his fortune selling Pampers and Huggies on the web. Now he wants to capitalize on digital content with a new website, Cafe.com.",Vinit Bharara made his fortune selling Pampers and Huggies. Now he wants to capitalize on a business fast becoming as commodified as diapers: digital content. ,https://www.nytimes.com/2014/06/23/business/media/disrupter-of-the-diaper-market-turns-to-journalism.html,2014-06-23,article,Business
41,"Retailers used to absorb much of the cost of goods when suppliers raised prices. Now, the difference is being passed on to shoppers.","Procter & Gamble is raising prices on items like Pampers and Tampax in September. Kimberly-Clark said in March that it will raise prices on Scott toilet paper, Huggies and Pull-Ups in June, a move that is “necessary to help offset significant commodity cost inflation.”",https://www.nytimes.com/2021/04/29/business/consumer-goods-prices.html,2021-04-29,article,Business
42,"An animated feature starring a newborn with an oh-so-familiar voice may confuse the kiddies, but grown-ups should get a kick out of it.","The animated feature “The Boss Baby” has some hilarious moments. If, that is, you’re a grown-up.",https://www.nytimes.com/2017/03/30/movies/the-boss-baby-review-alec-baldwin.html,2017-03-30,article,Weekend
43,"As the first black actor to star as Billy Bigelow on Broadway, Mr. Henry is changing theater, while a newborn son is changing him.","Samson Peter Henry, his parents’ first child, made his debut on the cusp of spring, at around 9 o’clock one morning this March. For his mother, Cathryn Henry, a postpartum nurse at New York-Presbyterian Hospital, it was a kind of Have Your Child at Work situation.",https://www.nytimes.com/2018/05/10/theater/joshua-henry-carousel-billy-bigelow.html,2018-05-10,article,Arts&Leisure
44,Panic buying has left stores and diaper banks empty of baby essentials as shutdowns and quarantines expand across the country.,"Until Catie Weimer’s baby, Arlo, was 4 months old, he would scream and pull his head away from the bottle every time she tried to feed him formula. If she got any of it into him, he’d vomit. He was born at 37 weeks, and she was already worried that he was on the small side when she learned that he had a milk protein allergy and was put on the hypoallergenic formula Alimentum. ",https://www.nytimes.com/2020/03/30/parenting/coronavirus-baby-formula-shortages-wipes-diapers.html,2020-03-30,article,Parenting
45,"Season 2 of this Amazon Prime show picks up with its stars expecting a baby a couple of years after an unplanned pregnancy led, eventually, to romance.",Love is a mess. It’s awkward and clumsy and can lead to the uncomfortable gestation of a small human.,https://www.nytimes.com/2016/04/07/arts/television/catastrophe-season-2-tv-review.html,2016-04-06,article,Culture
46,"Quidsi’s campaign for its new Web site, Soap.com, tries to create a brand identity for a one-stop shopping destination.","“A little bit of soap,” the old song goes, “will never wash away my tears.” But what might a whole lot of soap do? Not to mention detergent, paper towels, sponges, disinfecting wipes and more than 25,000 other health, beauty and household products.",https://www.nytimes.com/2010/11/01/business/media/01adnewsletter1.html,2010-11-01,article,Business
47,"For many female health workers on the front line in China, even things like menstruation have become an occupational hazard.",Zhang Wendan and her family were celebrating the Lunar New Year when the 27-year-old nurse got a notice from the hospital: report back to work and join the battle to contain the coronavirus outbreak.,https://www.nytimes.com/2020/02/26/business/coronavirus-china-nurse-menstruation.html,2020-02-26,article,Business
48,"Many families wait too long to open accounts and lose out on a chance to let their money grow more, Morningstar reported.","Many families wait too long to open 529 college savings accounts, which means they miss out on the maximum benefits from the accounts, a new analysis finds.",https://www.nytimes.com/2019/11/15/your-money/average-start-for-529-college-savings-age-7-is-costly-study-finds.html,2019-11-15,article,Business
49,"The governor dismissed three members of her cabinet, but some Puerto Ricans still took to the streets in protest.","SAN JUAN, P.R. — The man streaming on Facebook Live looked straight into his cellphone camera and promised that the footage to come would be outrageous. “Share what you’re about to see,” he urged his viewers.",https://www.nytimes.com/2020/01/20/us/puerto-rico-protests-emergency-supplies.html,2020-01-20,article,National
50,Javier Milei warned that things would get worse before they got better. Now Argentines are living it.,"Over the past two weeks, the owner of a hip wine bar in Buenos Aires saw the price of beef soar 73 percent, while the zucchini he puts in salads rose 140 percent. An Uber driver paid 60 percent more to fill her tank. And a father said he spent twice as much on diapers for his toddler than he did last month.",https://www.nytimes.com/2023/12/23/world/americas/argentina-economy-inflation-javier-milei.html,2023-12-23,article,Foreign
51,Waste from adult diapers is growing by tens of thousands of tons a year in Japan. One town may have a solution: recycle it into fuel pellets.,"HOUKI, Japan — The restorative waters that flow into the public baths in this town near the coast of western Japan originate from hot springs more than two-thirds of a mile below ground. At the surface, before the water bubbles out of the spouts, it is further heated to 107 degrees Fahrenheit — an ideal temperature for cleansing and soaking weary muscles.",https://www.nytimes.com/2021/11/15/world/asia/adult-diapers-japan.html,2021-11-15,article,Foreign
52,Designer diapers join the repertory of child-as-prop tools.,"When I heard that Huggies had begun to sell a “limited-edition jeans diaper,” and that its bigger rival Pampers was offering a new diaper line carrying the imprimatur of the fashion designer Cynthia Rowley, it struck me as a throwback. Could there be a more absurd example of the sort of mindless conspicuous consumption that marked the years before “credit default swap” entered the national vocabulary? I seem to remember a lot of declarations that the urge to buy anything signaling nonthrifty behavior had been left behind as decisively as a house with an upside-down mortgage. Even TV commercials said so!",https://www.nytimes.com/2010/08/01/magazine/01fob-consumed-t.html,2010-07-30,article,Magazine
53,"The products that have proved particularly troublesome: diapers, plastic bags and juice boxes.","The most advanced recycling operations in the world divert 75 percent or more of community waste away from landfills. In their efforts to achieve 100 percent recycling, or so-called Zero Waste, three products have proved particularly stubborn:",https://www.nytimes.com/2016/03/29/science/three-headaches-for-the-recycling-industry.html,2016-03-25,article,Science
54,The second graphic novel in Dav Pilkey’s “Super Diaper Baby” spinoff of his wildly popular “Captain Underpants” series.,"At what point does a parent of young children stop condemning potty talk and simply throw up his or her hands and let the scatological speech spill forth? The lure of toilet-related topics seems as inevitable as potty training itself, as if once out of diapers, children are unable to resist the conversational detritus they might otherwise have left behind.",https://www.nytimes.com/2011/06/29/books/review/childrens-books-super-diaper-baby-2-by-dav-pilkey.html,2011-06-29,article,BookReview
55,Parents who are raising children with a practice known as elimination communication say it can keep diapers out of landfills and help them bond with their offspring.,"When Jada Shapiro decided to raise her daughter from birth without diapers, for the most part, not everyone was amused. Ms. Shapiro scattered little bowls around the house to catch her daughter’s offerings, and her sister insisted that she use a big, dark marker to mark the bowls so that they could never find their way back to the kitchen.",https://www.nytimes.com/2013/04/19/nyregion/babys-latest-going-diaperless-at-home-or-even-in-the-park.html,2013-04-19,article,Metro
56,"Airports are offering more services for parents traveling with small children, including new automated kiosks to sell diapers.","Airports are getting a little more child-friendly, at least for parents traveling with babies and toddlers. The Honest Company, a consumer goods brand, recently started installing automated kiosks stocked with essentials for parents who forgot to bring diapers onto their next flight. The eco-friendly line, founded by the actress Jessica Alba in 2012, has set up nine kiosks at several airports and already plans more.",https://www.nytimes.com/2015/07/30/travel/airports-get-more-friendly-for-parents-with-young-children.html,2015-07-30,article,Travel
57,The pandemic has exacerbated the inequalities that already existed. These organizations are bridging the gap.,"More than half a year into the coronavirus pandemic, millions of U.S. families are struggling to pay for basic necessities.",https://www.nytimes.com/2020/09/17/parenting/helping-parents-kids-coronavirus.html,2020-09-17,article,Parenting
58,"Help fulfill the basic health and well-being of moms, dads and kids.","This article is part of Times Opinion’s Holiday Giving Guide 2021. For other ideas on where to donate this year, please see the rest of our guide here.",https://www.nytimes.com/2021/12/18/opinion/diapers-supplies-holidays.html,2021-12-18,article,OpEd
59,The changing of the royal diaper.,The changing of the royal diaper.,https://www.nytimes.com/2013/07/24/opinion/global/chappatte-cartoon-buckingham-palace-welcomes-the-royal-baby.html,2013-07-23,article,OpEd
60,What do you think about denim diapers and chocolate toddler formula?,"Diapers with a denim pattern? And chocolate toddler formula? (Marion Nestle apparently has her questions about that second one, too.)",https://parenting.blogs.nytimes.com/2010/05/25/two-products-i-just-dont-understand/,2010-05-25,article,Styles
61,"Many memorable and forgettable looks emerged in 2010. Drapey skirts, transparency and denim diapers are among the most forgettable.","Many memorable and forgettable looks emerged in 2010. Drapey skirts, transparency and denim diapers are among the most forgettable.",https://www.nytimes.com/slideshow/2010/12/30/fashion/20101231-goodbye.html,2010-12-31,multimedia,Fashion & Style
62,Modern fathers can choose manly child care gear over the cutesy diaper bags of yesteryear. The bulletproof inserts are optional.,"This story was originally published on May 23, 2019 in NYT Parenting.",https://www.nytimes.com/2020/04/17/parenting/dad-brands.html,2020-04-17,article,Parenting
63,"Senate Intelligence Committee Chair Senator Dianne Feinstein says CIA detainees were “stripped naked, diapered, physically struck and put in various painful stress positions” in the aftermath of the September 11, 2001 attacks. Rough Cut (no reporter narration).","Senate Intelligence Committee Chair Senator Dianne Feinstein says CIA detainees were “stripped naked, diapered, physically struck and put in various painful stress positions” in the aftermath of the September 11, 2001 attacks. Rough Cut (no reporter narration).",https://www.nytimes.com/video/multimedia/100000003279638/feinstein-details-harrowing-cia-enhanced-interrogation-technique.html,2014-12-09,multimedia,
64,"As ideas about gender have evolved, and reveal parties have sometimes proved destructive, parents-to-be may want to consider other ways to celebrate the expansion of their families.","As ideas about gender have evolved, and reveal parties have sometimes proved destructive, parents-to-be may want to consider other ways to celebrate the expansion of their families.",https://www.nytimes.com/interactive/2020/09/15/style/gender-reveal-parties-coronavirus-covid.html,2020-09-15,multimedia,Style
65,Test your knowledge of recent events.,NPR’s “Wait Wait ... Don’t Tell Me!” is heard weekends on public radio stations across the country. (npr.org/waitwait),https://www.nytimes.com/2011/09/04/opinion/sunday/wait-wait-dont-tell-me.html,2011-09-03,article,OpEd
66,This co-creator and star of “Crazy Ex-Girlfriend” on CW recalls why she held out for so long and how it has changed her life. Really.,I did not go poo in the toilet until I was 4 years old.,https://www.nytimes.com/2017/01/19/arts/television/rachel-bloom-the-first-time-i-used-the-potty-for-real-i-was-4.html,2017-01-19,article,Arts&Leisure
67,"Get recommendations from New York Times reporters and editors, highlighting interesting stories from around the web. In this installment, great reads from Andrew Jacobs, John Schwartz and others.","Get recommendations from New York Times reporters and editors, highlighting great stories from around the web. What We’re Reading emails are sent twice a week. Sign up »",https://news.blogs.nytimes.com/2015/07/31/what-were-reading-77/,2015-07-31,article,
68,"What to do when an ex-wife is sending a gift, when you want to wear white to the wedding of two men, and when someone leaves a dirty diaper where it doesn’t belong?","My ex-wife phoned to tell me she was sending a food basket to an old friend in sympathy for the death of her husband. She urged me to send a gift too, because it would mean a lot. But my relationship with the widow is attenuated. So I suggested that if a gift from me would provide comfort, my ex-wife was welcome to add my name to the gift card attached to her food basket. She refused. Was this appropriate? Anonymous",https://www.nytimes.com/2012/07/29/fashion/the-gravy-train-ends-here-social-qs.html,2012-07-26,article,Styles
69,"Several parent-founded companies are popping up, seeking to relieve travel-packing stress by espousing D.I.F.M. — “do it for me” — solutions.","While packing her seven-month-old son’s things for a trip to Europe a year and a half ago, Alejandra Tejada became so overwhelmed by the minutiae — from food pouches to infant thermometers — that she forgot to include diaper cream. She also brought too few diapers and in Barcelona had to make an emergency run — for a decidedly not-leak-proof brand.",https://www.nytimes.com/2019/12/17/travel/family-travel.html,2019-12-17,article,Travel
70,"Can you recycle coffee cups or greasy pizza boxes? If you’re tossing things in the recycling bin out of sheer hope, you might be an “aspirational recycler.”","We have all done it: a greasy pizza box, a disposable coffee cup, the odd plastic bag. Sometimes, we want things to be recyclable, so we put them in the recycling bin.",https://www.nytimes.com/2018/05/29/climate/recycling-wrong-mistakes.html,2018-05-29,article,Climate
71,"TPG and Goldman Sachs’s private equity arm are close to a deal to buy Ontex, the European private-label diaper maker, from buyout shop Candover for 1.2 billion euros ($1.5 billion) or more, according to press reports.","TPG and Goldman Sachs‘s private equity arm are close to a deal to buy Ontex, the European private-label diaper maker, from buyout shop Candover for 1.2 billion euros ($1.5 billion) or more, according to press reports.",https://dealbook.nytimes.com/2010/07/06/tpg-and-goldman-said-set-to-buy-candovers-ontex/,2010-07-06,article,Business
